2,4
4,1
6,0
8,0
10,2
12,3
14,3
16,4
18,4
20,4
22,2
24,0
26,1
28,2
30,0
32,1
34,3
36,3
38,1
40,3
42,1
44,0
46,1
48,1
50,2
52,0
54,1
56,3
58,0
60,1
62,0
64,3
66,1
68,4
70,2
72,1
74,1
76,0
78,0
80,3
82,0
84,0
86,0
88,2
90,4
92,0
94,3
96,2
98,1
100,2
102,2
104,0
106,3
108,0
110,4
112,2
114,1
116,3
118,0
120,0
122,0
124,4
126,1
128,4
130,2
132,4
134,1
136,2
138,3
140,1
142,1
144,1
146,2
148,2
150,0
152,1
154,2
156,3
158,0
160,4
162,3
164,3
166,4
168,3
170,2
172,1
174,3
176,1
178,2
180,0
182,4
184,0
186,2
188,3
190,4
192,1
194,2
196,2
198,2
200,3
